No.total,Serial No.,StationCo,Name_Kor,Name_Eng,River Syst,River name,Transmissi,Instrument,Address,Longitude,Latitude,Longitude_,Latitude_d,Beginning,Tidal,Elevation,Elevatio_1,Possible,Discharge,Drainage A,Distance f,Grade of,Remarks,Management,classifica,권역,Level,선정1,Final,확대지점,type,주의수위,경계수위,심각수위,기왕 최대수위,기왕 최대수위 사상,경계수위 초과유무,경계수위 초과사상,심각수위 초과유무,심각수위 초과사상,Hydro model,Rating curve,시나리오대상,Basic Model,Predict Rainfall Model,Scenario model,Representative,
62,62,1007615,여주시(원부교),Yeojusi(Wonbugyo),한강,청미천,VHF/M2M,부자식/레이더식,경기도 여주시 점동면 원부리 원부교,127-38-04,37-09-44,127.6344444,37.16222222,1985-01-01,무,50.945,59.972,9,유,519.53,14.23,최적(A), ,환경부,현재특보지점,한강,국가,현재특보지점,O,,지류,,5.5,6.5,7.6,7.4,,O,44775,X,,O,O,X,●,,,기본
63,63,1007617,여주시(삼합교),Yeojusi(Samhapgyo),한강,청미천,VHF/M2M,부자식/레이더식,경기도 여주시 점동면 삼합리 삼합교,127-43-09,37-12-08,127.7191667,37.20222222,2007-12-07,무,42.076,53.904,11,무,588.93,2.95,최적(A),본류 배수 영향,환경부,,한강,국가,,,,지류,,,,,,,,,,,,,,,,,
64,64,1007620,여주시(강천리),Yeojusi(Gangcheonri),한강,한강,VHF/M2M,부자식/레이더식,경기도 여주시 강천면 강천리 546-1,127-42-50,37-13-52,127.7138889,37.23111111,1996-09-01,무,38.4,49.192,12,무,"10,932.81",156.8,최적(A),4대강 보 영향,환경부,,한강,국가,,,,본류,,,,,,,,,,,,,,,,,
65,65,1007625,여주시(남한강교),Yeojusi(Namhanganggyo),한강,한강,VHF/M2M,부자식/레이더식,경기도 여주시 우만동 (구)남한강교,127-40-52,37-15-16,127.6811111,37.25444444,2001-04-19,무,36.292,51.543,12,유,"10,947.38",151.89,최적(A),4대강 보 영향,환경부,,한강,국가,추가선정,,추가선정,본류,,,,,,,,,,,,,,,,,
66,66,1007633,강천보(상류),Gangcheonbo(Sangryu),한강,한강,VHF/M2M,압력식/레이더식,경기도 여주시 단현동 47-3,127-41-00,37-16-23,127.6833333,37.27305556,2011-12-01,무,0,56.114,39.7,무,"10,947.42",149.42,최적(A),4대강 보 영향,환경부,,한강,국가,,,,본류,,,,,,,,,,,,,,,,,
67,67,1007634,강천보(하류),Gangcheonbo(Haryu),한강,한강,VHF/M2M,레이더식,경기도 여주시 강천면 이호리 523-2,127-41-05,37-17-02,127.6847222,37.28388889,2011-12-01,무,0,56.114,45,무,10948.57,148.21,최적(A),"9.15~9.21 계기수위 오류로 결측, 4대강 보 영향",환경부,,한강,국가,,,,본류,,,,,,,,,,,,,,,,,
68,68,1007635,여주시(여주대교),Yeojusi(Yeojudaegyo),한강,한강,VHF/M2M,부자식/레이더식,경기도 여주시 상동 여주대교,127-38-52,37-17-47,127.6477778,37.29638889,1913-03-01,무,32.529,47.635,11,유,"11,114.18",144.77,최적(A),4대강 보 영향,환경부,현재특보지점,한강,국가,현재특보지점,O,,본류,,6,8,9.2,6.65,45122.71528,X,,X,,O,O,O,●,,,기본
69,69,1007639,여주보(상류),Yeojubo(Sangryu),한강,한강,VHF/M2M,부자식,경기도 여주시 대신면 천남리 680,127-36-56,37-19-34,127.6155556,37.32611111,2012-02-22,무,0,42.429,40,무,11145.11,139.13,최적(A),"8.23 계기수위 오류로 결측, 4대강 보 영향",환경부,,한강,국가,,,,본류,,,,,,,,,,,,,,,,,
70,70,1007640,여주시(율극교),Yeojusi(Yulgkukgyo),한강,양화천,VHF/M2M,부자식/레이더식,경기도 여주시 흥천면 율극리 율극교,127-34-24,37-20-02,127.5733333,37.33388889,2006-10-23,무,32.057,41.518,8,유,177.33,3.15,최적(A), ,환경부,확대특보지점,한강,지방,확대특보지점,O,,지류,,4.5,5.5,7.2,4.15,40751.63194,X,,X,,O,O,O,○,,●,시나리오
71,71,1007641,여주보(하류),Yeojubo(Haryu),한강,한강,VHF/M2M,부자식/압력식,경기도 여주시 능서면 왕대리 1008,127-36-12,37-19-43,127.6033333,37.32861111,2012-02-22,무,0,45.108,37,유,11150.3,137.88,최적(A),"8.21~8.22 계기수위 오류로 결측, 4대강 보 영향",환경부,,한강,국가,,,,본류,,,,,,,,,,,,,,,,,
72,72,1007642,이천시(동산교),Icheonsi(dongsangyo),한강,복하천,VHF/M2M,레이더식,경기도 이천시 호법면 주박리 동산교,127-24-56,37-13-01,127.4155556,37.21694444,2022-04-01,무,58.99,67.613,6,유,73.24,24.3,최적(A), ,환경부,,한강,국가,,,,지류,,,,,,,,,,,,,,,,,
73,73,1007645,이천시(복하교),Icheonsi(Bokhagyo),한강,복하천,VHF/M2M,부자식/레이더식,경기도 이천시 부발읍 신하리 복하교,127-27-39,37-16-01,127.4608333,37.26694444,1988-04-01,무,46.418,53.367,6,무,165.34,14.89,최적(A),하류 고정보 영향,환경부,,한강,국가,,,,지류,,,,,,,,,,,,,,,,,
74,74,1007650,여주시(흥천대교),Yeojusi(Heungcheondaegyo),한강,복하천,VHF/M2M,부자식/레이더식,경기도 여주시 흥천면 다대리 흥천대교,127-32-07,37-19-59,127.5352778,37.33305556,2001-04-20,무,33.536,40.279,5,유,294.78,4.42,최적(A), ,환경부,현재특보지점,한강,국가,현재특보지점,O,,지류,,3.5,4.5,5.4,4.98,,O,"2011-07-27, 2013-07-22, 2020-08-02",X,,O,O,X,●,,,기본
75,75,1007655,여주시(양촌교),Yeojusi(Yangcheongyo),한강,곡수천,VHF/M2M,부자식/레이더식,경기도 여주시 대신면 초현리 양촌교,127-33-46,37-22-57,127.5627778,37.3825,2006-10-23,무,30.136,41.465,8.1,무,54.37,1.8,우수(B),1.1~1.29 동절기 하천결빙으로 결측,환경부,,한강,지방,,,,지류,,,,,,,,,,,,,,,,,
76,76,1007662,이포보(상류),Ipobo(Sangryu),한강,한강,VHF/M2M,부자식/레이더식,경기도 여주시 금사면 이포리 이포대교,127-32-16,37-24-04,127.5377778,37.40111111,2012-04-04,무,0,40.269,37,유,"11,774.88",128.77,최적(A),4대강 보 영향,환경부,,한강,국가,,,,본류,,,,,,,,,,,,,,,,,
77,77,1007664,이포보(하류),Ipobo(Haryu),한강,한강,VHF/M2M,압력식/압력식,경기도 여주시 대신면 천서리 674,127-32-29,37-24-30,127.5413889,37.40833333,2012-04-04,무,0,39.43,37,무,11776.03,128.08,최적(A),4대강 보 영향,환경부,,한강,국가,,,,본류,,,,,,,,,,,,,,,,,
78,78,1007680,양평군(흑천교),Yangpyeonggun(Heukcheongyo),한강,흑천,VHF/M2M,레이더식/레이더식,경기도 양평군 개군면 공세리 흑천교,127-31-39,37-27-58,127.5275,37.46611111,1988-04-01,무,32.286,37.547,6,유,307.44,2.55,최적(A),하류 가동보 영향,환경부,확대특보지점,한강,지방,확대특보지점,O,,지류,,3.5,4,5.5,4.69,,O,44782,X,,O,O,X,●,,,기본
79,79,1007685,양평군(양평교),Yangpyeonggun(Yangpyeonggyo),한강,한강,VHF/M2M,부자식/레이더식,경기도 양평군 양평읍 양근리 양평교,127-29-24,37-29-11,127.49,37.48638889,1953-11-01,무,19.558,36.384,14,유,12207.55,117.78,최적(A),팔당댐 배수 영향,환경부,,한강,국가,추가선정,,추가선정,본류,,,,,,,,,,,,,,,,,
80,80,1007690,양평군(봉상교),Yangpyeonggun(Bongsanggyo),한강,흑천,VHF/M2M,부자식,경기도 양평군 단월면 봉상리 봉상교,127-39-05,37-30-42,127.6513889,37.51166667,2013-12-31,무,78.78,84.319,5,무,164.03,19.18,최적(A),1.1~2.1 동절기 하천결빙으로 결측,환경부,,한강,지방,,,,지류,,,,,,,,,,,,,,,,,
81,81,1007697,양평군(신원리),Yangpyeonggun(Sinwonri),한강,한강,VHF/M2M,부자식,경기도 양평군 양서면 신원리 462-2,127-22-17,37-31-30,127.3713889,37.525,2016-11-07,무,24.29,29.321,6,무,"12,363.05",103.84,최적(A),팔당댐 배수 영향,환경부,,한강,국가,,,,본류,,,,,,,,,,,,,,,,,
82,82,1010633,양구군(송청제2교),Yanggugun(songcheongje2gyo),한강,서천,VHF/M2M,레이더식,강원특별자치도 양구군 양구읍 송청리 송청제2교,127-59-49,38-05-19,127.9969444,38.08861111,2022-04-01,무,187.22,194.867,5.5,무,142.40,1.9,최적(A), ,환경부,확대특보지점,한강,지방,제외,,,지류,,,,,,,,,,,,,,,,,
83,83,1010660,화천군(화천댐),Hwacheongun(Hwacheondam),한강,북한강,VHF/M2M,부자식,강원특별자치도 화천군 간동면 구만리 화천댐,127-46-38,38-07-03,127.7772222,38.1175,1974-07-04,무,0.268,184.786,173,무,4084.78,120.33,최적(A), ,환경부,,한강,국가,,,,지류,,,,,,,,,,,,,,,,,
84,84,1010673,화천군(신대교),Hwacheongun(Sindaegyo),한강,파포천,INMARSAT/M2M,레이더식,강원특별자치도 화천군 상서면 신대리 신대교,127-40-35,38-08-00,127.6763889,38.13333333,2023-01-27,무,128.28,137.6,7.5,무,97.37,3.82,최적(A),2022.12.23 관측소 신설 및 2023.1.27 관측개시,환경부,확대특보지점(신설),한강,지방,제외,,,지류,,,,,,,,,,,,,,,,,
85,85,1010690,춘천시(춘천댐),Chuncheonsi(Chuncheondam),한강,북한강,VHF/M2M,부자식,강원특별자치도 춘천시 신북읍 용산리 춘천댐,127-40-06,37-58-07,127.6683333,37.96861111,1974-07-04,무,-0.022,107.159,104,무,4859.74,86.6,최적(A), ,환경부,,한강,국가,,,,지류,,,,,,,,,,,,,,,,,
86,86,1010695,춘천시(춘천댐하류),Chuncheonsi(Chuncheondamharyu),한강,북한강,VHF/M2M,부자식,강원특별자치도 춘천시 서면 서상리 산 2-2,127-40-33,37-57-34,127.6758333,37.95944444,1962-07-01,무,71.811,84.348,9,무,4867.3,85.24,최적(A),춘천댐 방류 영향,환경부,,한강,국가,,,,지류,,,,,,,,,,,,,,,,,
87,87,1011620,인제군(반월촌교),Injegun(Banwolchongyo),한강,인북천,INMARSAT/M2M,부자식,강원특별자치도 인제군 서화면 심적리 반월촌교,128-12-13,38-15-52,128.2036111,38.26444444,2014-12-29,무,310.488,317.173,6,무,330.83,33.37,최적(A),"1.1~3.1, 12.15~12.31 동절기 하천결빙으로 결측",환경부,,한강,지방,,,,지류,,,,,,,,,,,,,,,,,
88,88,1011695,인제군(리빙스턴교),Injegun(Livingstongyo),한강,인북천,VHF/M2M,레이더식/레이더식,강원특별자치도 인제군 인제읍 합강리 리빙스턴교,128-11-00,38-05-18,128.1833333,38.08833333,2016-11-07,무,192.943,203.838,8.3,유,892.66,1.33,최적(A),상류 원통보 소수력발전소 방류 영향,환경부,확대특보지점,한강,지방,확대특보지점,O,,지류,,6.5,8,9.7,8.95,,O,"2020-08-05, 2020-09-03",X,,O,O,X,●,,,기본
89,89,1012630,인제군(왕성동교),Injegun(Waeongseongdonggyo),한강,내린천,INMARSAT/M2M,부자식/레이더식,강원특별자치도 인제군 상남면 미산리 왕성동교,128-19-22,37-52-19,128.3227778,37.87194444,2007-07-18,무,373.813,389.779,13,유,390.65,20.14,최적(A),"1.1~3.4 동절기 하천결빙으로 결측, 하류 고정보 영향",환경부,확대특보지점,한강,지방,확대특보지점,O,,지류,,5.5,6.5,9.5,4.98,42919.21528,X,,X,,O,O,O,○,,●,시나리오
90,90,1012635,인제군(양지교),Injegun(Yangjigyo),한강,방내천,INMARSAT/M2M,레이더식/레이더식,강원특별자치도 인제군 상남면 미산리 양지교,128-17-18,37-52-36,128.2883333,37.87666667,2016-11-07,무,340.511,348.941,7.5,유,162.24,0.63,최적(A),"1.1~3.12, 12.22~12.31 동절기 하천결빙으로 결측",환경부,,한강,지방,,,,지류,,,,,,,,,,,,,,,,,
91,91,1012640,인제군(현리교),Injegun(Hyeonrigyo),한강,방태천,INMARSAT/M2M,부자식/레이더식,강원특별자치도 인제군 기린면 현리 현리교,128-19-02,37-56-53,128.3172222,37.94805556,2012-10-15,무,285.965,294.212,6,무,194.20,0.59,최적(A),"1.1~2.19, 12.17~12.31 동절기 하천결빙으로 결측",환경부,확대특보지점,한강,지방,확대특보지점,O,,지류,,3.5,4,5.4,3.36,44077.36111,X,,X,,O,O,O,○,,●,시나리오
92,92,1012645,인제군(하죽천교),Injegun(Hajukcheongyo),한강,소양강,INMARSAT/M2M,레이더식,강원특별자치도 인제군 기린면 서리 하죽천교,128-18-29,37-58-37,128.3080556,37.97694444,2016-11-07,무,261.206,273.226,8.3,유,857.81,100.48,최적(A),"1.1~3.4 동절기 하천결빙으로 결측, 상류 서리보 소수력발전소 방류 영향",환경부,,한강,국가,,,,지류,,,,,,,,,,,,,,,,,
93,93,1012685,춘천시(천전리),Chuncheonsi(Cheonjeonri),한강,소양강,VHF/M2M,레이더식,강원특별자치도 춘천시 동면 지내리 윗샘밭교,127-47-23,37-55-49,127.7897222,37.93027778,1962-07-01,무,76.049,87.732,9,무,2704.61,8.5,최적(A),"8.23~8.25 계기수위 오류로 결측, 주소수정, 소양강댐 방류 영향",환경부,,한강,국가,추가선정,,추가선정,지류,,,,,,,,,,,,,,,,,
94,94,1013610,춘천시(효자교),Chuncheonsi(Hyojagyo),한강,공지천,INMARSAT/M2M,레이더식,강원특별자치도 춘천시 퇴계동 효자교,127-43-39,37-52-03,127.7275,37.8675,2023-01-27,무,67.784,76.82,8,유,47.78,2.33,최적(A),2022.12.23 관측소 신설 및 2023.1.27 관측개시,환경부,,한강,지방,추가선정,,추가선정,지류,,,,,,,,,,,,,,,,,
95,95,1013637,춘천시(소양2교),Chuncheonsi(Soyang2gyo),한강,북한강,VHF/M2M,부자식,강원특별자치도 춘천시 근화동 소양2교,127-43-21,37-53-35,127.7225,37.89305556,1914-10-01,무,0.012,74.611,77,무,7707.18,77.24,최적(A),의암댐 배수 영향,환경부,,한강,국가,추가선정,,추가선정,지류,,,,,,,,,,,,,,,,,
96,96,1013645,춘천시(강촌교),Chuncheonsi(Gangchongyo),한강,북한강,VHF/M2M,부자식/레이더식,강원특별자치도 춘천시 남산면 강촌리 강촌교,127-38-01,37-49-03,127.6336111,37.8175,1992-09-01,무,52.497,74.022,20,무,7919.06,63.68,최적(A),의암댐 방류 영향,환경부,,한강,국가,,,,지류,,,,,,,,,,,,,,,,,
97,97,1013655,가평군(가평교),Gapyeonggun(Gapyeonggyo),한강,가평천,VHF/M2M,레이더식/레이더식,경기도 가평군 가평읍 읍내리 가평교,127-31-05,37-49-53,127.5180556,37.83138889,1915-01-01,무,51.857,60.291,8,유,303.92,0.65,우수(B),1.1~2.9 동절기 하천결빙으로 결측,환경부,현재특보지점,한강,지방,현재특보지점,O,,지류,,3,4,5.2,4.87,,O,40751,X,,O,O,X,●,,,기본
98,98,1014620,홍천군(용선교),Hongcheongun(Yongsungyo),한강,내촌천,VHF/M2M,부자식/레이더식,강원특별자치도 홍천군 내촌면 답풍리 용선교,128-03-55,37-48-48,128.0652778,37.81333333,2009-10-27,무,184.738,191.895,7,무,314.77,10.06,최적(A),"1.1~2.24 동절기 하천결빙으로 결측, 하류 가동보 영향",환경부,확대특보지점,한강,지방,확대특보지점,O,,지류,,3.5,4,4.6,4.17,,O,44053,X,,O,O,X,●,,,기본
99,99,1014630,홍천군(주음치교),Hongcheongun(Jueumchigyo),한강,홍천강,VHF/M2M,부자식/레이더식,강원특별자치도 홍천군 화촌면 주음치리 주음치교,127-59-00,37-47-04,127.9833333,37.78444444,1989-01-01,무,152.147,167.673,10,무,522.76,84.23,최적(A),"1.1~1.23 동절기 하천결빙으로 결측, 상류 북창보 소수력발전소 방류 영향",환경부,,한강,국가,,,,지류,,,,,,,,,,,,,,,,,
100,100,1014640,홍천군(굴운교),Hongcheongun(Gyulwungyo),한강,홍천강,VHF/M2M,부자식/레이더식,강원특별자치도 홍천군 화촌면 굴운리 굴운교,127-56-29,37-44-19,127.9413889,37.73861111,2007-07-18,무,131.685,141.94,8,유,724.83,74.08,최적(A),"1.1~2.11 동절기 하천결빙으로 결측, 상류 북창보 소수력발전소 방류 영향",환경부,,한강,국가,,,,지류,,,,,,,,,,,,,,,,,
101,101,1014650,홍천군(홍천교),Hongcheongun(Hongcheongyo),한강,홍천강,VHF/M2M,부자식/레이더식,강원특별자치도 홍천군 홍천읍 연봉리 홍천교,127-52-44,37-41-14,127.8788889,37.68722222,1962-07-01,무,119.731,128.596,9,유,880.32,65.59,최적(A),"1.1~2.12 동절기 하천결빙으로 결측, 하류 가동보 영향",환경부,현재특보지점,한강,국가,현재특보지점,O,,지류,,4,5,6.5,5.99,,O,"2013-07-14, 2022-08-10, ",X,,O,O,X,●,,,기본
102,102,1014665,홍천군(남노일대교),Hongcheongun(Namnoildeagyo),한강,홍천강,VHF/M2M,레이더식,강원특별자치도 홍천군 남면 남노일리 남노일대교,127-46-14,37-40-31,127.7705556,37.67527778,2015-12-29,무,89.282,105.88,11,무,"1,123.52",44.96,최적(A),1.1~2.9 동절기 하천결빙으로 결측,환경부,,한강,국가,추가선정,,추가선정,지류,,,,,,,,,,,,,,,,,
103,103,1014680,홍천군(반곡교),Hongcheongun(Bangokgyo),한강,홍천강,VHF/M2M,레이더식,강원특별자치도 홍천군 서면 반곡리 반곡교,127-40-14,37-41-37,127.6705556,37.69361111,1982-05-05,무,68.288,77.547,9.2,유,1327.78,27.39,최적(A),1.1~2.9 동절기 하천결빙으로 결측,환경부,,한강,국가,,,,지류,,,,,,,,,,,,,,,,,
104,104,1014696,홍천군(모곡교),Hongcheongun(Mogokgyo),한강,중방대천,VHF/M2M,레이더식,강원특별자치도 홍천군 서면 모곡리 모곡교,127-36-18,37-40-19,127.605,37.67194444,2011-12-14,무,58.438,64.023,3.7,무,86.83,0.51,조정대상(E),"1.1~12.31 교량 신축 공사로 일시운영중지, 본류 배수 영향",환경부,,한강,지방,,,,지류,,,,,,,,,,,,,,,,,
105,105,1015620,가평군(대보교),Gapyeonggun(Daebogyo),한강,조종천,INMARSAT/M2M,레이더식,경기도 가평군 조종면 대보리 대보교,127-22-15,37-47-46,127.3708333,37.79611111,2023-01-27,무,99.531,108.375,7.8,무,156.76,20.13,최적(A),2022.12.23 관측소 신설 및 2023.1.27 관측개시,환경부,확대특보지점(신설),한강,지방,확대특보지점,O,,지류,,4.9,5.6,6.4,4.91,45121.26389,X,,X,,X,,O,○,,●,시나리오
106,106,1015640,가평군(청평댐),Gapyeonggun(Cheongpyeongdam),한강,북한강,VHF/M2M,부자식,경기도 가평군 설악면 회곡리 745-27,127-25-23,37-43-24,127.4230556,37.72333333,1974-07-04,무,0.67,55.441,52,무,10103.16,24.38,최적(A), ,환경부,,한강,국가,,,,지류,,,,,,,,,,,,,,,,,
107,107,1015644,가평군(청평교),Gapyeonggun(Cheongpyeonggyo),한강,조종천,VHF/M2M,부자식/레이더식,경기도 가평군 청평면 청평리 청평교,127-24-52,37-44-03,127.4144444,37.73416667,2006-10-23,무,31.222,40.789,8.3,유,258.08,1.38,최적(A),"1.1~3.5, 12.18~12.26 동절기 하천결빙으로 결측, 본류 배수 및 하류 고정보 영향",환경부,,한강,지방,,,,지류,,,,,,,,,,,,,,,,,
108,108,1015645,가평군(신청평대교),Gapyeonggun(Sincheongpyeongdaegyo),한강,북한강,VHF/M2M,레이더식,경기도 가평군 청평면 삼회리 신청평대교,127-24-37,37-43-05,127.4102778,37.71805556,1914-01-01,무,22.612,54.202,16,무,10373.39,22.2,최적(A),청평댐 방류 영향,환경부,,한강,국가,,,,지류,,,,,,,,,,,,,,,,,
109,109,1015680,남양주시(삼봉리),Namyangjusi(Sambongri),한강,북한강,VHF/M2M,부자식/레이더식,경기도 남양주시 조안면 삼봉리 235-1,127-20-21,37-35-43,127.3391667,37.59527778,2013-01-03,무,24.422,28.166,6,무,709.14,9.32,최적(A),팔당댐 배수 영향,환경부,,한강,국가,,,,지류,,,,,,,,,,,,,,,,,
110,110,1016607,용인시(월촌교),Yonginsi(WolChongyo),한강,경안천,VHF/M2M,부자식,경기도 용인시 처인구 모현면 갈담리 월촌교,127-14-22,37-19-57,127.2394444,37.3325,2012-10-15,무,49.553,56.949,5.4,무,149.43,23.46,최적(A),"1.1~1.13 동절기 하천결빙으로 결측, 하류 고정보 영향",환경부,,한강,국가,추가선정,,추가선정,지류,,,,,,,,,,,,,,,,,
111,111,1016650,광주시(경안교),Gwangjusi(Gyeongangyo),한강,경안천,VHF/M2M,부자식/레이더식,경기도 광주시 쌍령동 경안교,127-15-47,37-24-24,127.2630556,37.40666667,1985-01-01,무,34.106,43.456,8,유,261.82,13.57,최적(A),하류 고정보 영향,환경부,현재특보지점,한강,국가,현재특보지점,O,,지류,,4,5,6.1,1900-01-06 9:50,,O,40751,O,40751,O,O,X,●,○,,기본
112,112,1016660,광주시(섬뜰교),Gwangjusi(Sumthlgyo),한강,곤지암천,VHF/M2M,부자식/레이더식,경기도 광주시 초월읍 도평리 섬뜰교,127-17-34,37-23-57,127.2927778,37.39916667,2000-03-01,무,36.123,45.626,7,무,154.67,2.9,최적(A),"1.1~2.10, 12.17~12.26 동절기 하천결빙으로 결측, 하류 가동보 영향",환경부,확대특보지점,한강,지방,확대특보지점,O,,지류,,4,5,6.4,10.98,,O,"2011-07-27, 2013-07-22, 2022-08-09, 2022-08-10, ",O,"2011-07-27, 2022-08-09, 2022-08-10",O,O,X,●,○,,기본
113,113,1016670,광주시(서하교),Gwangjusi(Seohagyo),한강,경안천,VHF/M2M,부자식,경기도 광주시 초월읍 서하리 서하교,127-18-30,37-25-44,127.3083333,37.42888889,2013-12-31,무,26.762,35.762,8,무,458.49,7.84,최적(A), ,환경부,,한강,국가,,,,지류,,,,,,,,,,,,,,,,,
